BaseMaterial,ground_lin_slope,ground_lin_intercept,ground_growth_rate_per_day,predicted_flight_day3_methodA_ground_line,predicted_flight_day3_methodB_flightD1_plus_ground_rate,actual_flight_day3
Cellulose membrane,0.364999999999997,73.10000000000001,0.3649999999999949,74.195,100.72999999999999,29.61
LIS,1.804999999999998,12.583333333333336,1.8049999999999997,17.998333333333328,7.6200000000000045,4.480000000000004
SS316,17.85499999999999,32.49000000000002,17.854999999999997,86.05499999999999,58.69,17.58
Silicone,-0.14999999999999844,99.65333333333334,-0.14999999999999858,99.20333333333335,87.88000000000001,100.0
Silicone DLIP,-0.1350000000000048,97.98333333333333,-0.13500000000000512,97.57833333333332,99.63,95.38
p-SS316,21.599999999999994,18.396666666666682,21.6,83.19666666666666,58.120000000000005,16.299999999999997
